		Theoden		    deposits		39386.0
		Theoden		    deposits		18756.0
		Theoden		    deposits		5642.0
		Theoden		    deposits		6376.0
		Theoden		    deposits		281488.0
		Theoden		    deposits		240400.0
		Theoden		    deposits		259404.0
		Theoden		    deposits		132517.0
		Theoden		    deposits		53287.0
		Theoden		    deposits		30646.0
		Theoden		    deposits		16296.0
		Theoden		    deposits		98775.0
		Theoden		    deposits		52176.0
		Theoden		    deposits		306756.0
		Theoden		    deposits		191039.0
		Theoden		    deposits		127377.0
		Theoden		    deposits		102195.0
		Theoden		    deposits		36220.0
		Theoden		    deposits		28563.0
		Theoden		    deposits		20392.0
		Theoden		    deposits		25019.0
		Theoden		    deposits		25221.0
		Theoden		    deposits		16513.0
12:15:58	Oshino	  deposits 	4468.0
12:15:58	Tokisaki	  deposits 	3939.0
12:15:58	Owsienko	  deposits 	8819.0
12:15:58	Itsuka	  deposits 	8336.0
12:15:59	Theoden	  deposits 	114391.0
12:15:59	Oshino	  deposits 	3219.0
12:15:59	Tokisaki	  deposits 	6144.0
12:15:59	Owsienko	  deposits 	14636.0
12:15:59	Itsuka	  deposits 	2597.0
12:16:00	Theoden	  deposits 	69555.0
12:16:00	Oshino	  deposits 	4148.0
12:16:00	Tokisaki	  deposits 	6118.0
12:16:00	Owsienko	  deposits 	35377.0
12:16:00	Itsuka	  deposits 	4567.0
12:16:01	Musk	  deposits 	2012.0
12:16:01	Theoden	  deposits 	65922.0
12:16:01	Debtor	  deposits 	434.0
12:16:01	Oshino	  deposits 	2284.0
12:16:01	Tokisaki	  deposits 	2228.0
12:16:01	Owsienko	  deposits 	7809.0
12:16:01	Itsuka	  deposits 	1146.0
12:16:02	Musk	  deposits 	685.0
12:16:02	Theoden	  deposits 	25385.0
12:16:02	Oshino	  deposits 	1831.0
12:16:02	Tokisaki	  deposits 	936.0
12:16:02	Owsienko	  deposits 	24438.0
12:16:02	Itsuka	  deposits 	1263.0
12:16:03	Theoden	  deposits 	347819.0
12:16:03	Oshino	  deposits 	921.0
12:16:03	Tokisaki	  deposits 	542.0
12:16:03	Owsienko	  deposits 	10664.0
12:16:03	Itsuka	  deposits 	451.0
12:16:04	Theoden	  deposits 	317133.0
12:16:04	Tokisaki	  deposits 	1252.0
12:16:05	Theoden	  deposits 	103104.0
12:16:05	Tokisaki	  deposits 	770.0
12:16:05	Oshino	  deposits 	4153.0
12:16:05	Theoden	  deposits 	59578.0
12:16:05	Tokisaki	  deposits 	8621.0
12:16:05	Itsuka	  deposits 	3985.0
12:16:06	Taizou	  deposits 	720.0
12:16:06	Oshino	  deposits 	3460.0
12:16:06	Tokisaki	  deposits 	3613.0
12:16:06	Theoden	  deposits 	64944.0
12:16:06	Itsuka	  deposits 	5261.0
12:16:07	Oshino	  deposits 	1759.0
12:16:07	Theoden	  deposits 	819616.0
12:16:07	Tokisaki	  deposits 	4108.0
12:16:07	Owsienko	  deposits 	12246.0
12:16:07	Itsuka	  deposits 	3041.0
12:16:08	Oshino	  deposits 	1171.0
12:16:08	Theoden	  deposits 	360498.0
12:16:08	Tokisaki	  deposits 	4957.0
12:16:08	Itsuka	  deposits 	1230.0
12:16:08	Owsienko	  deposits 	8694.0
12:16:09	Oshino	  deposits 	672.0
12:16:09	Theoden	  deposits 	169344.0
12:16:09	Tokisaki	  deposits 	1729.0
12:16:09	Itsuka	  deposits 	5773.0
12:16:09	Owsienko	  deposits 	12959.0
12:16:10	Debtor	  deposits 	992.0
12:16:10	Theoden	  deposits 	121338.0
12:16:10	Tokisaki	  deposits 	886.0
12:16:10	Owsienko	  deposits 	28986.0
12:16:10	Itsuka	  deposits 	7619.0
12:16:11	Debtor	  deposits 	744.0
12:16:11	Oshino	  deposits 	3584.0
12:16:11	Theoden	  deposits 	169622.0
12:16:11	Tokisaki	  deposits 	1309.0
12:16:11	Itsuka	  deposits 	2101.0
12:16:11	Owsienko	  deposits 	10520.0
12:16:11	Oshino	  deposits 	1259.0
12:16:11	Theoden	  deposits 	256543.0
12:16:11	Tokisaki	  deposits 	4467.0
12:16:11	Itsuka	  deposits 	1553.0
12:16:11	Owsienko	  deposits 	16523.0
12:16:12	Oshino	  deposits 	620.0
12:16:12	Tokisaki	  deposits 	2043.0
12:16:12	Itsuka	  deposits 	944.0
12:16:12	Theoden	  deposits 	1153031.0
12:16:12	Owsienko	  deposits 	5106.0
12:16:13	Tokisaki	  deposits 	2739.0
12:16:13	Itsuka	  deposits 	437.0
12:16:13	Theoden	  deposits 	304539.0
12:16:13	Owsienko	  deposits 	4096.0
